STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN21D,Current transfers payable to the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2019,,2558817.68,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN21D,Current transfers payable to the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2020,,3717243.812,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN21D,Current transfers payable to the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2021,,5866330.678,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN21D,Current transfers payable to the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2022,,4284732.203,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN1B,Net primary income from the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2019,,-7333143.866,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN1B,Net primary income from the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2020,,-12560834.342,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN1B,Net primary income from the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2021,,-14017346.686,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN1B,Net primary income from the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2022,,-14456125.673,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN21B,Net current transfers from the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2019,,734474.312,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN21B,Net current transfers from the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2020,,-327204.696,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN21B,Net current transfers from the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2021,,-2097570.936,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,IN21B,Net current transfers from the rest of the world,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2022,,502141.877,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2019,,189153558.934,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2020,,188540855.184,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B6G,"Disposable income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2021,,224256555.522,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
